# conf-name,group-name,topo,ptf_image_name,ptf,ptf_ip,ptf_ipv6,server,vm_base,dut,comment
r-leopard-58-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-r-leopard-58,10.213.103.5/16,,server_11,VM1101,r-leopard-58,Mellanox MTR testbed
r-leopard-58-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-r-leopard-58,10.213.103.5/16,,server_11,VM1101,r-leopard-58,Mellanox MTR testbed

r-leopard-70-t0,vm-t1,t0,docker-ptf-mlnx,ptf-r-leopard-70,10.215.26.182/16,,server_61,VM2601,r-leopard-70,Mellanox MTR testbed
r-leopard-70-t0-56-o8v48,vm-t1,t0-56-o8v48,docker-ptf-mlnx,ptf-r-leopard-70,10.215.26.182/16,,server_61,VM2601,r-leopard-70,Mellanox MTR testbed
r-leopard-70-t1,vm-t1,t1,docker-ptf-mlnx,ptf-r-leopard-70,10.215.26.182/16,,server_61,VM2601,r-leopard-70,Mellanox MTR testbed
r-leopard-70-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,ptf-r-leopard-70,10.215.26.182/16,,server_61,VM2601,r-leopard-70,Mellanox MTR testbed
r-leopard-70-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-r-leopard-70,10.215.26.182/16,,server_61,VM2601,r-leopard-70,Mellanox MTR testbed
r-leopard-70-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-r-leopard-70,10.215.26.182/16,,server_61,VM2601,r-leopard-70,Mellanox MTR testbed
r-leopard-70-dualtor,vm-t1,dualtor,docker-ptf-mlnx,ptf-r-leopard-70,10.215.26.182/16,,server_61,VM2601,r-leopard-70,Mellanox MTR testbed

r-leopard-72-t0,vm-t1,t0,docker-ptf-mlnx,ptf-r-leopard-72,10.215.34.62/16,,server_62,VM2701,r-leopard-72,Mellanox MTR testbed
r-leopard-72-t0-56-o8v48,vm-t1,t0-56-o8v48,docker-ptf-mlnx,ptf-r-leopard-72,10.215.34.62/16,,server_62,VM2701,r-leopard-72,Mellanox MTR testbed
r-leopard-72-t1,vm-t1,t1,docker-ptf-mlnx,ptf-r-leopard-72,10.215.34.62/16,,server_62,VM2701,r-leopard-72,Mellanox MTR testbed
r-leopard-72-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,ptf-r-leopard-72,10.215.34.62/16,,server_62,VM2701,r-leopard-72,Mellanox MTR testbed
r-leopard-72-t1-28-lag,vm-t1,t1-28-lag,docker-ptf-mlnx,ptf-r-leopard-72,10.215.34.62/16,,server_62,VM2701,r-leopard-72,Mellanox MTR testbed
r-leopard-72-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-r-leopard-72,10.215.34.62/16,,server_62,VM2701,r-leopard-72,Mellanox MTR testbed
r-leopard-72-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-r-leopard-72,10.215.34.62/16,,server_62,VM2701,r-leopard-72,Mellanox MTR testbed
r-leopard-72-dualtor,vm-t1,dualtor,docker-ptf-mlnx,ptf-r-leopard-72,10.215.34.62/16,,server_62,VM2701,r-leopard-72,Mellanox MTR testbed

r-leopard-79-t0,vm-t1,t0,docker-ptf-mlnx,ptf-r-leopard-79,10.215.28.182/16,,server_69,VM3401,r-leopard-79,Mellanox MTR testbed
r-leopard-79-t1,vm-t1,t1,docker-ptf-mlnx,ptf-r-leopard-79,10.215.28.182/16,,server_69,VM3401,r-leopard-79,Mellanox MTR testbed
r-leopard-79-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,ptf-r-leopard-79,10.215.28.182/16,,server_69,VM3401,r-leopard-79,Mellanox MTR testbed
r-leopard-79-t1-28-lag,vm-t1,t1-28-lag,docker-ptf-mlnx,ptf-r-leopard-79,10.215.28.182/16,,server_69,VM3401,r-leopard-79,Mellanox MTR testbed
r-leopard-79-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-r-leopard-79,10.215.28.182/16,,server_69,VM3401,r-leopard-79,Mellanox MTR testbed
r-leopard-79-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-r-leopard-79,10.215.28.182/16,,server_69,VM3401,r-leopard-79,Mellanox MTR testbed

r-bobcat-01-t0,vm-t2,t0,docker-ptf-mlnx,ptf-r-bobcat-01,10.215.6.123/16,,server_72,VM3701,r-bobcat-01,Mellanox MTR testbed
r-bobcat-01-t1,vm-t2,t1,docker-ptf-mlnx,ptf-r-bobcat-01,10.215.6.123/16,,server_72,VM3701,r-bobcat-01,Mellanox MTR testbed
r-bobcat-01-t1-lag,vm-t2,t1-lag,docker-ptf-mlnx,ptf-r-bobcat-01,10.215.6.123/16,,server_72,VM3701,r-bobcat-01,Mellanox MTR testbed
