Hostname,ManagementIp,HwSku,Type,Protocol,Os
r-bobcat-01,10.210.26.177/22,Mellanox-SN4280-O28,DevSonic,,sonic
r-leopard-82,10.210.26.108/22,ACS-MSN4700,FanoutLeaf,,sonic
r-r740-14,10.215.28.180,TestServ,Server,,
pdu-10-208-0-181,10.208.0.181,Raritan,Pdu,snmp,
pdu-10-208-2-14,10.208.2.14,Emerson,Pdu,snmp,
rcon-sws-2-6,10.208.0.85,,ConsoleServer,ssh,sonic
