StartDevice,StartPort,EndDevice,EndPort,EndFeed
pdu-10-208-2-11,1.1,r-tigon-21,PSU1,
pdu-10-208-0-17,6,r-tigon-21,PSU2,
pdu-10-208-2-11,1.2,r-tigon-22,PSU1,
