StartDevice,StartPort,EndDevice,Console_type,Console_menu_type,Proxy
rcon-mtvr-rack-1-3,7043,mtvr-gaur-03,ssh,,root
rcon-mtvr-rack-1-7,7028,mtvr-gaur-12,ssh,,root
