StartDevice,StartPort,EndDevice,EndPort,EndFeed
pdu-10-245-2-15,15,mtvr-gaur-03,PSU1,
pdu-10-245-2-34,15,mtvr-gaur-03,PSU2,
pdu-10-245-2-15,19,mtvr-gaur-03,PSU3,
pdu-10-245-2-34,22,mtvr-gaur-03,PSU4
