StartDevice,StartPort,EndDevice,Console_type,Console_menu_type,Proxy
rcon-mtvr-rack-2-6,7026,mtvr-leopard-09,ssh,,root
rcon-mtvr-rack-2-6,7025,mtvr-leopard-10,ssh,,root
