Hostname,ManagementIp,HwSku,Type,Protocol,Os
r-panther-16,10.210.25.186/22,Mellanox-SN2700,DevSonic,,sonic
pdu-10-208-0-210,10.208.0.210,ApcRPDU,Pdu,snmp,
