Hostname,ManagementIp,HwSku,Type,Protocol,Os
r-gaur-04,10.210.26.40/22,Mellanox-SN5610N-C256S2,DevSonic,,sonic
pdu-10-208-2-42,10.208.2.42,Vertiv,Pdu,snmp,
pdu-10-208-2-15,10.208.2.15,Vertiv,Pdu,snmp,
