Hostname,ManagementIp,HwSku,Type,Protocol,Os
r-moose-02,10.210.24.236/22,ACS-SN5600,DevSonic,,sonic
pdu-10-208-0-17,10.208.0.17,Raritan,Pdu,snmp,
