Hostname,ManagementIp,HwSku,Type,Protocol,Os
r-lionfish-07,10.210.25.107/22,ACS-MSN3420,DevSonic,,sonic
pdu-10-208-0-158,10.208.0.158,Sentry,CDU,snmp,
