Hostname,ManagementIp,HwSku,Type,Protocol,Os
r-ocelot-02,10.210.25.183/22,ACS-MSN4410,DevSonic,,sonic
pdu-10-208-0-158,10.208.0.158,Sentry,CDU,snmp,
