Hostname,ManagementIp,HwSku,Type,Protocol,Os
r-bulldog-02,10.210.25.44/22,ACS-MSN2100,DevSonic,,sonic
pdu-10-208-0-23,10.208.0.23,Sentry,CDU,snmp,
