Hostname,ManagementIp,HwSku,Type,Protocol,Os
c-panther-01,10.75.71.81/24,Mellanox-SN2700,DevSonic,,sonic
c-panther-02,10.75.67.34/25,MLNX-OS,FanoutLeaf,,
dev-r730-02,10.75.207.40,TestServ,Server,,
pdu-10-75-68-210,10.75.68.210,Sentry,CDU,snmp,
pdu-10-75-68-211,10.75.68.211,ApcRPDU,Pdu,snmp,
MTBC-RCON02,10.75.68.214,,ConsoleServer,ssh,sonic
