StartDevice,StartPort,EndDevice,EndPort,EndFeed
pdu-10-75-68-212,1.10,mtbc-sonic-03-2700,PSU1,
pdu-10-75-68-212,1.14,mtbc-sonic-03-2700,PSU2,
