Hostname,ManagementIp,HwSku,Type,Protocol,Os
r-tigon-17,10.210.24.160/22,ACS-MSN4600C,DevSonic,,sonic
pdu-10-208-0-137,10.208.0.137,Sentry,CDU,snmp,
