Hostname,ManagementIp,HwSku,Type,Protocol,Os
sws-cham6s-4,10.220.14.28/22,ACS-SN6810_LD,DevSonic,,sonic
pdu-10-193-230-180,10.193.230.180,Raritan,Pdu,snmp,
