Hostname,ManagementIp,HwSku,Type,Protocol,Os
r-alligator-10,10.210.24.207/22,ACS-SN2201,DevSonic,,sonic
pdu-10-208-2-33,10.208.2.33,Emerson,Pdu,snmp,
