Hostname,ManagementIp,HwSku,Type,Protocol,Os
mtvr-moose-06,10.245.20.47/22,ACS-SN5600,DevSonic,,sonic
pdu-10-245-2-49,10.245.2.49,Vertiv,Pdu,snmp,
