Hostname,ManagementIp,HwSku,Type,Protocol,Os
slm-chipless-2700a1-146-bmc,10.7.111.146,bmc,DevSonic,,sonic
pdu-10-7-178-181,10.7.178.181,Vertiv,Pdu,snmp,
