Hostname,ManagementIp,HwSku,Type,Protocol,Os
leopard-dgx-208,10.220.12.208/22,ACS-SN4700D,DevSonic,,sonic
pdu-10-193-230-109,10.193.230.109,Raritan,Pdu,snmp,
