Hostname,ManagementIp,HwSku,Type,Protocol,Os
mtvr-bobcat-07,10.245.20.245/22,Mellanox-SN4280-O28,DevSonic,,sonic
pdu-10-245-2-15,10.245.2.15,Vertiv,Pdu,snmp,
pdu-10-245-2-34,10.245.2.34,Vertiv,Pdu,snmp,
