Hostname,ManagementIp,HwSku,Type,Protocol,Os
r-panther-42,2001:db8:1234:5678:a288:c2ff:fe86:3edc,Mellanox-SN2700-A1-D48C8,DevSonic,,sonic
r-panther-43,2001:db8:1234:5678:7efe:90ff:fe58:e026,MLNX-OS,FanoutLeaf,,
r-r620-07,10.210.26.180,TestServ,Server,,
pdu-10-208-0-191,10.208.0.191,Vertiv,Pdu,snmp,
rcon-SWS-1-3,10.208.0.80,,ConsoleServer,ssh,sonic
