Hostname,ManagementIp,HwSku,Type,Protocol,Os
r-bison-08,10.210.25.18/22,Mellanox-SN5640-C512S2,DevSonic,,sonic
r-bison-09,10.210.25.19/22,Mellanox-SN5640-C512S2,FanoutLeaf,,sonic
r-moose-06,10.210.25.6/22,Mellanox-SN5600-C256S1,FanoutLeaf,,sonic
r-sonic-15,10.215.51.60,TestServ,Server,,
pdu-10-208-2-47,10.208.2.47,Vertiv,Pdu,snmp,
rcon-sws-1-3,10.208.0.80,,ConsoleServer,ssh,sonic
